date,revenue_scaled
2019-12-15,141552.21
2019-12-16,131409.19
2019-12-17,118912.16
2019-12-18,154326.18
2019-12-19,151141.34
2019-12-20,142521.50
2019-12-21,145740.96
2019-12-22,142556.12
2019-12-23,153841.53
2019-12-24,153121.48
2019-12-25,284489.12
2019-12-26,141933.00
2019-12-27,108492.20
2019-12-28,138021.19
2019-12-29,160003.50
2019-12-30,149244.28
2019-12-31,169558.01
2020-01-01,142175.33
2020-01-02,161111.27
2020-01-03,149659.70
2020-01-04,144010.07
2020-01-05,187490.03
2020-01-06,142348.42
2020-01-07,142486.89
2020-01-08,147575.70
2020-01-09,148233.44
2020-01-10,114204.14
2020-01-11,153841.53
2020-01-12,124935.66
2020-01-13,145464.02
2020-01-14,142417.65
2020-01-15,111469.33
2020-01-16,131789.98
2020-01-17,124180.99
2020-01-18,131755.37
2020-01-19,131063.01
2020-01-20,152595.29
2020-01-21,145429.40
2020-01-22,154914.68
2020-01-23,134351.70
2020-01-24,132620.81
2020-01-25,179943.35
2020-01-26,162842.16
2020-01-27,167792.50
2020-01-28,170284.98
2020-01-29,161457.44
2020-01-30,138955.87
2020-01-31,131270.72
2020-02-01,160141.97
2020-02-02,160765.09
2020-02-03,161007.41
2020-02-04,145810.20
2020-02-05,148718.09
2020-02-06,149825.86
2020-02-07,125177.98
2020-02-08,155517.03
2020-02-09,159484.23
2020-02-10,149237.36
2020-02-11,137882.72
2020-02-12,189844.04
2020-02-13,148233.44
2020-02-14,145567.87
2020-02-15,158584.17
2020-02-16,148960.42
2020-02-17,138817.40
2020-02-18,128293.59
2020-02-19,176239.25
2020-02-20,138125.04
2020-02-21,124693.33
2020-02-22,139260.51
2020-02-23,143151.55
2020-02-24,143490.80
2020-03-03,126389.61
2020-03-04,151944.47
2020-03-05,130647.60
2020-03-06,117541.30
2020-03-07,133070.84
2020-03-08,119604.52
2020-03-09,97726.06
2020-03-10,126424.23
2020-03-11,124762.57
2020-03-12,135909.50
2020-03-13,104670.40
2020-03-14,114100.29
2020-03-15,155018.53
2020-03-16,166892.44
2020-03-17,164088.40
2020-03-18,127774.32
2020-03-19,154568.50
2020-03-20,122789.36
2020-03-21,153218.41
2020-03-22,133763.20
2020-03-23,116938.95
2020-03-24,104961.19
2020-03-25,91875.66
2020-03-26,70343.38
2020-03-27,80382.54
2020-03-28,87409.96
2020-03-29,78478.56
2020-03-30,81905.73
2020-03-31,77924.68
2020-04-01,72558.92
2020-04-02,92706.48
2020-04-03,67227.78
2020-04-04,96445.21
2020-04-05,122477.80
2020-04-06,114550.32
2020-04-07,106484.37
2020-04-08,90767.89
2020-04-09,83740.47
2020-04-10,70343.38
2020-04-11,97310.65
2020-04-12,83948.18
2020-04-13,83948.18
2020-04-14,89279.32
2020-04-15,91702.57
2020-04-16,78720.89
2020-04-17,61411.99
2020-04-18,83844.32
2020-04-19,95545.14
2020-04-20,100287.78
2020-04-21,96099.03
2020-04-22,86198.34
2020-04-23,110500.03
2020-04-24,69581.79
2020-04-25,110742.36
2020-04-26,92221.83
2020-04-27,84294.36
2020-04-28,116765.86
2020-04-29,77128.47
2020-04-30,79482.48
2020-05-01,66639.28
2020-05-02,87929.23
2020-05-03,83498.15
2020-05-04,83532.76
2020-05-05,79794.04
2020-05-06,82944.26
2020-05-07,94021.96
2020-05-08,55596.20
2020-05-09,88690.82
2020-05-10,93052.66
2020-05-11,81351.84
2020-05-12,86613.75
2020-05-13,90837.12
2020-05-14,84986.71
2020-05-15,37733.41
2020-05-16,104407.30
2020-05-17,81871.11
2020-05-18,97899.15
2020-05-26,107661.37
2020-05-27,89487.03
2020-05-28,119050.63
2020-05-29,75743.76
2020-05-30,119985.31
2020-05-31,143802.36
2020-06-01,120089.17
2020-06-02,111573.19
2020-06-03,98660.75
2020-06-04,112646.34
2020-06-05,90490.94
2020-06-06,129055.18
2020-06-07,98106.86
2020-06-08,99906.99
2020-06-09,112577.10
2020-06-10,103057.21
2020-06-11,114550.32
2020-06-12,80728.72
2020-06-13,116592.77
2020-06-14,115381.15
2020-06-15,117458.21
2020-06-16,132551.58
2020-06-17,133486.26
2020-06-18,138540.46
2020-06-19,99699.28
2020-06-20,137709.63
2020-06-21,146744.88
2020-06-22,128951.32
2020-06-30,156887.89
2020-07-01,146606.41
2020-07-02,138021.19
2020-07-03,97449.12
2020-07-04,145360.16
2020-07-05,144563.95
2020-07-06,161353.59
2020-07-07,147575.70
2020-07-08,135355.62
2020-07-09,150933.63
2020-07-10,122339.32
2020-07-11,181674.24
2020-07-12,130093.71
2020-07-13,161561.30
2020-07-14,130959.16
2020-07-15,144010.07
2020-07-16,137848.10
2020-07-17,94195.05
2020-07-18,140998.32
2020-07-19,130578.36
2020-07-20,123170.15
2020-07-21,149375.83
2020-07-22,126112.66
2020-07-23,147402.62
2020-07-24,91598.71
2020-07-25,106345.90
2020-07-26,115602.70
2020-07-27,97414.50
2020-07-28,118323.66
2020-07-29,104026.50
2020-07-30,151972.17
2020-07-31,57811.73
2020-08-01,80244.07
2020-08-02,113857.96
2020-08-03,129851.39
2020-08-04,135078.68
2020-08-05,108907.62
2020-08-06,126874.26
2020-08-07,79794.04
2020-08-08,133001.61
2020-08-09,120469.96
2020-08-10,120296.87
2020-08-11,123481.71
2020-08-12,112715.57
2020-08-13,104061.12
2020-08-14,95441.29
2020-08-15,119742.99
2020-08-16,123031.68
2020-08-17,131028.39
2020-08-18,140409.82
2020-08-19,107869.08
2020-08-20,104061.12
2020-08-21,80140.22
2020-08-22,127566.61
2020-08-23,144806.28
2020-08-24,109253.79
2020-08-25,122131.62
2020-08-26,146087.14
2020-08-27,144633.19
2020-08-28,108215.26
2020-08-29,136913.42
2020-08-30,169904.19
2020-08-31,116835.09
2020-09-01,126458.84
2020-09-02,132440.80
2020-09-03,134524.79
2020-09-04,101741.73
2020-09-05,129124.41
2020-09-06,131533.81
2020-09-07,122443.18
2020-09-08,109738.44
2020-09-09,152699.14
2020-09-10,142348.42
2020-09-11,87202.25
2020-09-12,149445.07
2020-09-13,145602.49
2020-09-14,126354.99
2020-09-15,159484.23
2020-09-16,136117.21
2020-09-17,141690.68
2020-09-18,102953.35
2020-09-19,113823.34
2020-09-20,125385.69
2020-09-21,152595.29
2020-09-29,111850.13
2020-09-30,116800.48
2020-10-01,103161.06
2020-10-02,96791.38
2020-10-03,149271.98
2020-10-04,143386.95
2020-10-05,137571.16
2020-10-06,152629.90
2020-10-07,128293.59
2020-10-08,137778.87
2020-10-09,103334.15
2020-10-10,128916.71
2020-10-11,120054.55
2020-10-12,133555.49
2020-10-13,120227.64
2020-10-14,138159.66
2020-10-15,109599.97
2020-10-16,83151.97
2020-10-17,124762.57
2020-10-18,126147.28
2020-10-19,114481.08
2020-10-20,153149.17
2020-10-21,136186.45
2020-10-22,142313.80
2020-10-23,100980.14
2020-10-24,114169.52
2020-10-25,138035.04
2020-10-26,141240.65
2020-10-27,134732.50
2020-10-28,123724.04
2020-10-29,110638.51
2020-10-30,94922.02
